seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time,camera
8,"[128, 178, 169, 276]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_4,Present,01-08-2024 10:18,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_4,Absent,01-08-2024 10:18,transformed_cam2.csv
1,"[200, 282, 64, 173]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
2,"[201, 286, 213, 309]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
3,"[189, 280, 332, 427]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
4,"[191, 293, 440, 561]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
5,"[181, 292, 597, 725]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
6,"[183, 296, 779, 905]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
7,"[193, 310, 952, 1089]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
8,"[128, 178, 169, 276]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
9,"[118, 175, 277, 361]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
10,"[115, 178, 363, 471]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
11,"[103, 170, 502, 592]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
12,"[93, 171, 630, 727]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
13,"[106, 176, 780, 883]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
14,"[108, 176, 921, 1035]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
15,"[52, 115, 283, 357]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
16,"[62, 115, 364, 442]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
17,"[57, 104, 485, 574]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
18,"[53, 97, 621, 703]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
19,"[44, 105, 721, 800]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
20,"[50, 100, 823, 912]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
21,"[50, 105, 934, 1041]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
22,"[24, 64, 379, 450]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
23,"[14, 61, 467, 539]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
24,"[6, 53, 566, 638]",snapshot_5,Present,01-08-2024 10:24,transformed_cam2.csv
25,"[9, 50, 665, 728]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
26,"[1, 54, 757, 826]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
27,"[4, 60, 837, 926]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
28,"[14, 51, 947, 1025]",snapshot_5,Absent,01-08-2024 10:24,transformed_cam2.csv
1,"[345, 494, 492, 677]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
3,"[315, 448, 966, 1146]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
4,"[300, 442, 1148, 1324]",snapshot_1,Present,01-08-2024 09:53,transformed_cam3.csv
5,"[182, 285, 510, 648]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
6,"[172, 277, 660, 802]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
7,"[152, 260, 839, 958]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
8,"[142, 258, 986, 1114]",snapshot_1,Absent,01-08-2024 09:54,transformed_cam3.csv
9,"[144, 256, 1125, 1229]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
10,"[156, 257, 1220, 1334]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
11,"[56, 155, 505, 594]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
12,"[50, 145, 619, 714]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
13,"[69, 143, 734, 832]",snapshot_1,Present,01-08-2024 09:54,transformed_cam3.csv
14,"[65, 154, 836, 953]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
15,"[58, 142, 982, 1078]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
16,"[58, 144, 1098, 1184]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
17,"[71, 153, 1200, 1299]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
18,"[81, 157, 1319, 1399]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
19,"[3, 56, 501, 595]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
20,"[2, 56, 609, 697]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
21,"[1, 61, 720, 804]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
22,"[1, 56, 833, 912]",snapshot_1,Present,01-08-2024 09:55,transformed_cam3.csv
23,"[0, 58, 931, 1013]",snapshot_1,Absent,01-08-2024 09:55,transformed_cam3.csv
24,"[2, 60, 1029, 1109]",snapshot_1,Absent,01-08-2024 09:56,transformed_cam3.csv
25,"[1, 74, 1131, 1199]",snapshot_1,Present,01-08-2024 09:56,transformed_cam3.csv
26,"[21, 72, 1132, 1199]",snapshot_1,Present,01-08-2024 09:56,transformed_cam3.csv
27,"[21, 78, 1205, 1261]",snapshot_1,Present,01-08-2024 09:56,transformed_cam3.csv
28,"[36, 97, 1285, 1340]",snapshot_1,Absent,01-08-2024 09:56,transformed_cam3.csv
1,"[345, 494, 492, 677]",snapshot_2,Present,01-08-2024 10:06,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_2,Present,01-08-2024 10:06,transformed_cam3.csv
3,"[315, 448, 966, 1146]",snapshot_2,Present,01-08-2024 10:06,transformed_cam3.csv
4,"[300, 442, 1148, 1324]",snapshot_2,Present,01-08-2024 10:06,transformed_cam3.csv
5,"[182, 285, 510, 648]",snapshot_2,Present,01-08-2024 10:06,transformed_cam3.csv
6,"[172, 277, 660, 802]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
7,"[152, 260, 839, 958]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
8,"[142, 258, 986, 1114]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
9,"[144, 256, 1125, 1229]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
10,"[156, 257, 1220, 1334]",snapshot_2,Absent,01-08-2024 10:07,transformed_cam3.csv
11,"[56, 155, 505, 594]",snapshot_2,Absent,01-08-2024 10:07,transformed_cam3.csv
12,"[50, 145, 619, 714]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
13,"[69, 143, 734, 832]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
14,"[65, 154, 836, 953]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
15,"[58, 142, 982, 1078]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
16,"[58, 144, 1098, 1184]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
17,"[71, 153, 1200, 1299]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
18,"[81, 157, 1319, 1399]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
19,"[3, 56, 501, 595]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
20,"[2, 56, 609, 697]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
21,"[1, 61, 720, 804]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
22,"[1, 56, 833, 912]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
23,"[0, 58, 931, 1013]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
24,"[2, 60, 1029, 1109]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
25,"[1, 74, 1131, 1199]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
26,"[21, 72, 1132, 1199]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
27,"[21, 78, 1205, 1261]",snapshot_2,Present,01-08-2024 10:07,transformed_cam3.csv
28,"[36, 97, 1285, 1340]",snapshot_2,Absent,01-08-2024 10:07,transformed_cam3.csv
1,"[345, 494, 492, 677]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
3,"[315, 448, 966, 1146]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
4,"[300, 442, 1148, 1324]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
5,"[182, 285, 510, 648]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
6,"[172, 277, 660, 802]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
7,"[152, 260, 839, 958]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
8,"[142, 258, 986, 1114]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
9,"[144, 256, 1125, 1229]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
10,"[156, 257, 1220, 1334]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
11,"[56, 155, 505, 594]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
12,"[50, 145, 619, 714]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
13,"[69, 143, 734, 832]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
14,"[65, 154, 836, 953]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
15,"[58, 142, 982, 1078]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
16,"[58, 144, 1098, 1184]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
17,"[71, 153, 1200, 1299]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
18,"[81, 157, 1319, 1399]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
19,"[3, 56, 501, 595]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
20,"[2, 56, 609, 697]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
21,"[1, 61, 720, 804]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
22,"[1, 56, 833, 912]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
23,"[0, 58, 931, 1013]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
24,"[2, 60, 1029, 1109]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
25,"[1, 74, 1131, 1199]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
26,"[21, 72, 1132, 1199]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
27,"[21, 78, 1205, 1261]",snapshot_3,Absent,01-08-2024 10:13,transformed_cam3.csv
28,"[36, 97, 1285, 1340]",snapshot_3,Present,01-08-2024 10:13,transformed_cam3.csv
1,"[345, 494, 492, 677]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
3,"[315, 448, 966, 1146]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
4,"[300, 442, 1148, 1324]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
5,"[182, 285, 510, 648]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
6,"[172, 277, 660, 802]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
7,"[152, 260, 839, 958]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
8,"[142, 258, 986, 1114]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
9,"[144, 256, 1125, 1229]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
10,"[156, 257, 1220, 1334]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
11,"[56, 155, 505, 594]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
12,"[50, 145, 619, 714]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
13,"[69, 143, 734, 832]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
14,"[65, 154, 836, 953]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
15,"[58, 142, 982, 1078]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
16,"[58, 144, 1098, 1184]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
17,"[71, 153, 1200, 1299]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
18,"[81, 157, 1319, 1399]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
19,"[3, 56, 501, 595]",snapshot_4,Absent,01-08-2024 10:19,transformed_cam3.csv
20,"[2, 56, 609, 697]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
21,"[1, 61, 720, 804]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
22,"[1, 56, 833, 912]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
23,"[0, 58, 931, 1013]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
24,"[2, 60, 1029, 1109]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
25,"[1, 74, 1131, 1199]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
26,"[21, 72, 1132, 1199]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
27,"[21, 78, 1205, 1261]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
28,"[36, 97, 1285, 1340]",snapshot_4,Present,01-08-2024 10:19,transformed_cam3.csv
1,"[345, 494, 492, 677]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
2,"[332, 496, 721, 951]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
3,"[315, 448, 966, 1146]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
4,"[300, 442, 1148, 1324]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
5,"[182, 285, 510, 648]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
6,"[172, 277, 660, 802]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
7,"[152, 260, 839, 958]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
8,"[142, 258, 986, 1114]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
9,"[144, 256, 1125, 1229]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
10,"[156, 257, 1220, 1334]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
11,"[56, 155, 505, 594]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
12,"[50, 145, 619, 714]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
13,"[69, 143, 734, 832]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
14,"[65, 154, 836, 953]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
15,"[58, 142, 982, 1078]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
16,"[58, 144, 1098, 1184]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
17,"[71, 153, 1200, 1299]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
18,"[81, 157, 1319, 1399]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
19,"[3, 56, 501, 595]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
20,"[2, 56, 609, 697]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
21,"[1, 61, 720, 804]",snapshot_5,Present,01-08-2024 10:25,transformed_cam3.csv
22,"[1, 56, 833, 912]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
23,"[0, 58, 931, 1013]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
24,"[2, 60, 1029, 1109]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
25,"[1, 74, 1131, 1199]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
26,"[21, 72, 1132, 1199]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
27,"[21, 78, 1205, 1261]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
28,"[36, 97, 1285, 1340]",snapshot_5,Absent,01-08-2024 10:25,transformed_cam3.csv
1,"[289, 404, 197, 347]",snapshot_1,Present,01-08-2024 09:56,transformed_cam4.csv
2,"[298, 405, 386, 525]",snapshot_1,Present,01-08-2024 09:56,transformed_cam4.csv
3,"[270, 374, 599, 738]",snapshot_1,Present,01-08-2024 09:56,transformed_cam4.csv
4,"[278, 384, 768, 951]",snapshot_1,Present,01-08-2024 09:56,transformed_cam4.csv
5,"[253, 366, 978, 1106]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
6,"[255, 355, 1117, 1238]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
7,"[248, 351, 1278, 1378]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
8,"[255, 349, 1387, 1483]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
9,"[261, 339, 1489, 1589]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
10,"[269, 329, 1565, 1661]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
11,"[245, 302, 67, 149]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
12,"[223, 289, 168, 266]",snapshot_1,Absent,01-08-2024 09:57,transformed_cam4.csv
13,"[210, 280, 293, 408]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
14,"[199, 266, 472, 587]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
15,"[182, 249, 601, 750]",snapshot_1,Present,01-08-2024 09:57,transformed_cam4.csv
16,"[183, 252, 773, 894]",snapshot_1,Absent,01-08-2024 09:57,transformed_cam4.csv
17,"[172, 246, 925, 1021]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
18,"[175, 242, 1048, 1161]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
19,"[188, 240, 1211, 1321]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
20,"[183, 247, 1334, 1421]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
21,"[194, 246, 1430, 1517]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
22,"[163, 203, 258, 351]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
23,"[143, 205, 379, 483]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
24,"[131, 193, 490, 577]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
25,"[121, 181, 607, 702]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
26,"[129, 188, 726, 812]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
27,"[123, 175, 825, 930]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
28,"[118, 178, 942, 1040]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
29,"[121, 168, 1069, 1147]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
30,"[115, 177, 1164, 1252]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
31,"[114, 154, 340, 404]",snapshot_1,Absent,01-08-2024 09:58,transformed_cam4.csv
32,"[105, 146, 424, 503]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
33,"[91, 138, 544, 633]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
34,"[84, 132, 668, 752]",snapshot_1,Present,01-08-2024 09:58,transformed_cam4.csv
35,"[80, 132, 782, 853]",snapshot_1,Present,01-08-2024 09:59,transformed_cam4.csv
36,"[83, 131, 901, 963]",snapshot_1,Present,01-08-2024 09:59,transformed_cam4.csv
37,"[87, 130, 999, 1072]",snapshot_1,Present,01-08-2024 09:59,transformed_cam4.csv
38,"[119, 167, 256, 330]",snapshot_1,Absent,01-08-2024 09:59,transformed_cam4.csv
1,"[289, 404, 197, 347]",snapshot_2,Present,01-08-2024 10:08,transformed_cam4.csv
2,"[298, 405, 386, 525]",snapshot_2,Present,01-08-2024 10:08,transformed_cam4.csv
3,"[270, 374, 599, 738]",snapshot_2,Present,01-08-2024 10:08,transformed_cam4.csv
4,"[278, 384, 768, 951]",snapshot_2,Present,01-08-2024 10:08,transformed_cam4.csv
5,"[253, 366, 978, 1106]",snapshot_2,Present,01-08-2024 10:08,transformed_cam4.csv
