seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[245, 327, 40, 122]",snapshot_1,Present,01-08-2024 10:02
2,"[254, 330, 114, 195]",snapshot_1,Absent,01-08-2024 10:02
3,"[251, 340, 212, 320]",snapshot_1,Present,01-08-2024 10:02
4,"[262, 359, 324, 416]",snapshot_1,Absent,01-08-2024 10:02
5,"[270, 382, 441, 578]",snapshot_1,Present,01-08-2024 10:02
6,"[280, 394, 640, 779]",snapshot_1,Present,01-08-2024 10:02
7,"[291, 398, 836, 992]",snapshot_1,Present,01-08-2024 10:02
8,"[287, 403, 1033, 1175]",snapshot_1,Present,01-08-2024 10:02
9,"[318, 439, 1215, 1374]",snapshot_1,Present,01-08-2024 10:02
10,"[341, 445, 1393, 1538]",snapshot_1,Present,01-08-2024 10:02
11,"[177, 250, 199, 289]",snapshot_1,Absent,01-08-2024 10:02
12,"[168, 247, 312, 398]",snapshot_1,Absent,01-08-2024 10:03
13,"[183, 252, 413, 506]",snapshot_1,Present,01-08-2024 10:03
14,"[194, 262, 536, 637]",snapshot_1,Present,01-08-2024 10:03
15,"[193, 261, 652, 760]",snapshot_1,Present,01-08-2024 10:03
16,"[198, 276, 783, 913]",snapshot_1,Present,01-08-2024 10:03
17,"[193, 280, 961, 1059]",snapshot_1,Present,01-08-2024 10:03
18,"[199, 299, 1123, 1248]",snapshot_1,Present,01-08-2024 10:03
19,"[212, 304, 1267, 1368]",snapshot_1,Present,01-08-2024 10:03
20,"[235, 336, 1421, 1524]",snapshot_1,Present,01-08-2024 10:03
21,"[241, 340, 1543, 1627]",snapshot_1,Present,01-08-2024 10:03
22,"[140, 192, 430, 530]",snapshot_1,Present,01-08-2024 10:03
23,"[143, 192, 548, 630]",snapshot_1,Absent,01-08-2024 10:04
24,"[130, 185, 649, 737]",snapshot_1,Absent,01-08-2024 10:04
25,"[126, 205, 767, 857]",snapshot_1,Present,01-08-2024 10:04
26,"[136, 209, 905, 997]",snapshot_1,Present,01-08-2024 10:04
27,"[140, 212, 1031, 1099]",snapshot_1,Absent,01-08-2024 10:04
28,"[165, 206, 1131, 1229]",snapshot_1,Absent,01-08-2024 10:04
29,"[162, 215, 1261, 1344]",snapshot_1,Present,01-08-2024 10:04
30,"[184, 246, 1380, 1458]",snapshot_1,Present,01-08-2024 10:04
31,"[143, 189, 1319, 1395]",snapshot_1,Present,01-08-2024 10:04
32,"[114, 168, 1222, 1291]",snapshot_1,Absent,01-08-2024 10:04
33,"[111, 160, 1108, 1174]",snapshot_1,Absent,01-08-2024 10:04
34,"[101, 151, 994, 1050]",snapshot_1,Absent,01-08-2024 10:04
35,"[102, 147, 702, 785]",snapshot_1,Present,01-08-2024 10:04
1,"[245, 327, 40, 122]",snapshot_2,Absent,01-08-2024 10:10
2,"[254, 330, 114, 195]",snapshot_2,Present,01-08-2024 10:10
3,"[251, 340, 212, 320]",snapshot_2,Absent,01-08-2024 10:10
4,"[262, 359, 324, 416]",snapshot_2,Present,01-08-2024 10:10
5,"[270, 382, 441, 578]",snapshot_2,Present,01-08-2024 10:10
6,"[280, 394, 640, 779]",snapshot_2,Present,01-08-2024 10:10
7,"[291, 398, 836, 992]",snapshot_2,Present,01-08-2024 10:10
8,"[287, 403, 1033, 1175]",snapshot_2,Present,01-08-2024 10:10
9,"[318, 439, 1215, 1374]",snapshot_2,Present,01-08-2024 10:10
10,"[341, 445, 1393, 1538]",snapshot_2,Present,01-08-2024 10:10
11,"[177, 250, 199, 289]",snapshot_2,Absent,01-08-2024 10:10
12,"[168, 247, 312, 398]",snapshot_2,Present,01-08-2024 10:10
13,"[183, 252, 413, 506]",snapshot_2,Present,01-08-2024 10:10
14,"[194, 262, 536, 637]",snapshot_2,Present,01-08-2024 10:10
15,"[193, 261, 652, 760]",snapshot_2,Absent,01-08-2024 10:10
16,"[198, 276, 783, 913]",snapshot_2,Present,01-08-2024 10:10
17,"[193, 280, 961, 1059]",snapshot_2,Absent,01-08-2024 10:10
18,"[199, 299, 1123, 1248]",snapshot_2,Absent,01-08-2024 10:10
19,"[212, 304, 1267, 1368]",snapshot_2,Absent,01-08-2024 10:10
20,"[235, 336, 1421, 1524]",snapshot_2,Present,01-08-2024 10:10
21,"[241, 340, 1543, 1627]",snapshot_2,Present,01-08-2024 10:10
22,"[140, 192, 430, 530]",snapshot_2,Present,01-08-2024 10:10
23,"[143, 192, 548, 630]",snapshot_2,Present,01-08-2024 10:10
24,"[130, 185, 649, 737]",snapshot_2,Present,01-08-2024 10:10
25,"[126, 205, 767, 857]",snapshot_2,Present,01-08-2024 10:10
26,"[136, 209, 905, 997]",snapshot_2,Absent,01-08-2024 10:10
27,"[140, 212, 1031, 1099]",snapshot_2,Present,01-08-2024 10:10
28,"[165, 206, 1131, 1229]",snapshot_2,Absent,01-08-2024 10:10
29,"[162, 215, 1261, 1344]",snapshot_2,Absent,01-08-2024 10:10
30,"[184, 246, 1380, 1458]",snapshot_2,Present,01-08-2024 10:10
31,"[143, 189, 1319, 1395]",snapshot_2,Absent,01-08-2024 10:11
32,"[114, 168, 1222, 1291]",snapshot_2,Absent,01-08-2024 10:11
33,"[111, 160, 1108, 1174]",snapshot_2,Absent,01-08-2024 10:11
34,"[101, 151, 994, 1050]",snapshot_2,Absent,01-08-2024 10:11
35,"[102, 147, 702, 785]",snapshot_2,Present,01-08-2024 10:11
1,"[245, 327, 40, 122]",snapshot_3,Present,01-08-2024 10:16
2,"[254, 330, 114, 195]",snapshot_3,Absent,01-08-2024 10:16
3,"[251, 340, 212, 320]",snapshot_3,Present,01-08-2024 10:16
4,"[262, 359, 324, 416]",snapshot_3,Present,01-08-2024 10:16
5,"[270, 382, 441, 578]",snapshot_3,Absent,01-08-2024 10:16
6,"[280, 394, 640, 779]",snapshot_3,Present,01-08-2024 10:16
7,"[291, 398, 836, 992]",snapshot_3,Present,01-08-2024 10:16
8,"[287, 403, 1033, 1175]",snapshot_3,Present,01-08-2024 10:16
9,"[318, 439, 1215, 1374]",snapshot_3,Present,01-08-2024 10:16
10,"[341, 445, 1393, 1538]",snapshot_3,Present,01-08-2024 10:16
11,"[177, 250, 199, 289]",snapshot_3,Absent,01-08-2024 10:16
12,"[168, 247, 312, 398]",snapshot_3,Absent,01-08-2024 10:16
13,"[183, 252, 413, 506]",snapshot_3,Present,01-08-2024 10:16
14,"[194, 262, 536, 637]",snapshot_3,Present,01-08-2024 10:16
15,"[193, 261, 652, 760]",snapshot_3,Present,01-08-2024 10:16
16,"[198, 276, 783, 913]",snapshot_3,Present,01-08-2024 10:16
17,"[193, 280, 961, 1059]",snapshot_3,Absent,01-08-2024 10:16
18,"[199, 299, 1123, 1248]",snapshot_3,Present,01-08-2024 10:16
19,"[212, 304, 1267, 1368]",snapshot_3,Absent,01-08-2024 10:16
20,"[235, 336, 1421, 1524]",snapshot_3,Present,01-08-2024 10:16
21,"[241, 340, 1543, 1627]",snapshot_3,Absent,01-08-2024 10:16
22,"[140, 192, 430, 530]",snapshot_3,Present,01-08-2024 10:16
23,"[143, 192, 548, 630]",snapshot_3,Absent,01-08-2024 10:16
24,"[130, 185, 649, 737]",snapshot_3,Absent,01-08-2024 10:16
25,"[126, 205, 767, 857]",snapshot_3,Present,01-08-2024 10:16
26,"[136, 209, 905, 997]",snapshot_3,Absent,01-08-2024 10:16
27,"[140, 212, 1031, 1099]",snapshot_3,Present,01-08-2024 10:16
28,"[165, 206, 1131, 1229]",snapshot_3,Present,01-08-2024 10:16
29,"[162, 215, 1261, 1344]",snapshot_3,Present,01-08-2024 10:16
30,"[184, 246, 1380, 1458]",snapshot_3,Absent,01-08-2024 10:16
31,"[143, 189, 1319, 1395]",snapshot_3,Present,01-08-2024 10:17
32,"[114, 168, 1222, 1291]",snapshot_3,Present,01-08-2024 10:17
33,"[111, 160, 1108, 1174]",snapshot_3,Absent,01-08-2024 10:17
34,"[101, 151, 994, 1050]",snapshot_3,Absent,01-08-2024 10:17
35,"[102, 147, 702, 785]",snapshot_3,Absent,01-08-2024 10:17
1,"[245, 327, 40, 122]",snapshot_4,Absent,01-08-2024 10:22
2,"[254, 330, 114, 195]",snapshot_4,Absent,01-08-2024 10:22
3,"[251, 340, 212, 320]",snapshot_4,Absent,01-08-2024 10:22
4,"[262, 359, 324, 416]",snapshot_4,Absent,01-08-2024 10:22
5,"[270, 382, 441, 578]",snapshot_4,Absent,01-08-2024 10:22
6,"[280, 394, 640, 779]",snapshot_4,Absent,01-08-2024 10:22
7,"[291, 398, 836, 992]",snapshot_4,Absent,01-08-2024 10:22
8,"[287, 403, 1033, 1175]",snapshot_4,Absent,01-08-2024 10:22
9,"[318, 439, 1215, 1374]",snapshot_4,Absent,01-08-2024 10:22
10,"[341, 445, 1393, 1538]",snapshot_4,Absent,01-08-2024 10:22
11,"[177, 250, 199, 289]",snapshot_4,Absent,01-08-2024 10:22
12,"[168, 247, 312, 398]",snapshot_4,Present,01-08-2024 10:22
13,"[183, 252, 413, 506]",snapshot_4,Absent,01-08-2024 10:22
14,"[194, 262, 536, 637]",snapshot_4,Absent,01-08-2024 10:22
15,"[193, 261, 652, 760]",snapshot_4,Absent,01-08-2024 10:22
16,"[198, 276, 783, 913]",snapshot_4,Absent,01-08-2024 10:22
17,"[193, 280, 961, 1059]",snapshot_4,Absent,01-08-2024 10:22
18,"[199, 299, 1123, 1248]",snapshot_4,Absent,01-08-2024 10:22
19,"[212, 304, 1267, 1368]",snapshot_4,Absent,01-08-2024 10:22
20,"[235, 336, 1421, 1524]",snapshot_4,Absent,01-08-2024 10:22
21,"[241, 340, 1543, 1627]",snapshot_4,Absent,01-08-2024 10:22
22,"[140, 192, 430, 530]",snapshot_4,Absent,01-08-2024 10:22
23,"[143, 192, 548, 630]",snapshot_4,Absent,01-08-2024 10:22
24,"[130, 185, 649, 737]",snapshot_4,Present,01-08-2024 10:22
25,"[126, 205, 767, 857]",snapshot_4,Absent,01-08-2024 10:22
26,"[136, 209, 905, 997]",snapshot_4,Absent,01-08-2024 10:22
27,"[140, 212, 1031, 1099]",snapshot_4,Absent,01-08-2024 10:22
28,"[165, 206, 1131, 1229]",snapshot_4,Absent,01-08-2024 10:22
29,"[162, 215, 1261, 1344]",snapshot_4,Absent,01-08-2024 10:22
30,"[184, 246, 1380, 1458]",snapshot_4,Absent,01-08-2024 10:22
31,"[143, 189, 1319, 1395]",snapshot_4,Absent,01-08-2024 10:23
32,"[114, 168, 1222, 1291]",snapshot_4,Absent,01-08-2024 10:23
33,"[111, 160, 1108, 1174]",snapshot_4,Absent,01-08-2024 10:23
34,"[101, 151, 994, 1050]",snapshot_4,Absent,01-08-2024 10:23
35,"[102, 147, 702, 785]",snapshot_4,Absent,01-08-2024 10:23
1,"[245, 327, 40, 122]",snapshot_5,Absent,01-08-2024 10:28
2,"[254, 330, 114, 195]",snapshot_5,Absent,01-08-2024 10:28
3,"[251, 340, 212, 320]",snapshot_5,Absent,01-08-2024 10:28
4,"[262, 359, 324, 416]",snapshot_5,Present,01-08-2024 10:28
5,"[270, 382, 441, 578]",snapshot_5,Absent,01-08-2024 10:28
6,"[280, 394, 640, 779]",snapshot_5,Absent,01-08-2024 10:28
7,"[291, 398, 836, 992]",snapshot_5,Absent,01-08-2024 10:28
8,"[287, 403, 1033, 1175]",snapshot_5,Absent,01-08-2024 10:28
9,"[318, 439, 1215, 1374]",snapshot_5,Present,01-08-2024 10:28
10,"[341, 445, 1393, 1538]",snapshot_5,Present,01-08-2024 10:28
11,"[177, 250, 199, 289]",snapshot_5,Absent,01-08-2024 10:28
12,"[168, 247, 312, 398]",snapshot_5,Absent,01-08-2024 10:28
13,"[183, 252, 413, 506]",snapshot_5,Absent,01-08-2024 10:28
14,"[194, 262, 536, 637]",snapshot_5,Absent,01-08-2024 10:28
15,"[193, 261, 652, 760]",snapshot_5,Absent,01-08-2024 10:28
16,"[198, 276, 783, 913]",snapshot_5,Absent,01-08-2024 10:28
17,"[193, 280, 961, 1059]",snapshot_5,Absent,01-08-2024 10:28
18,"[199, 299, 1123, 1248]",snapshot_5,Absent,01-08-2024 10:28
19,"[212, 304, 1267, 1368]",snapshot_5,Absent,01-08-2024 10:28
20,"[235, 336, 1421, 1524]",snapshot_5,Absent,01-08-2024 10:28
21,"[241, 340, 1543, 1627]",snapshot_5,Present,01-08-2024 10:28
22,"[140, 192, 430, 530]",snapshot_5,Absent,01-08-2024 10:28
23,"[143, 192, 548, 630]",snapshot_5,Absent,01-08-2024 10:28
24,"[130, 185, 649, 737]",snapshot_5,Absent,01-08-2024 10:28
25,"[126, 205, 767, 857]",snapshot_5,Absent,01-08-2024 10:28
26,"[136, 209, 905, 997]",snapshot_5,Absent,01-08-2024 10:28
27,"[140, 212, 1031, 1099]",snapshot_5,Absent,01-08-2024 10:28
28,"[165, 206, 1131, 1229]",snapshot_5,Present,01-08-2024 10:28
29,"[162, 215, 1261, 1344]",snapshot_5,Absent,01-08-2024 10:28
30,"[184, 246, 1380, 1458]",snapshot_5,Absent,01-08-2024 10:29
31,"[143, 189, 1319, 1395]",snapshot_5,Absent,01-08-2024 10:29
32,"[114, 168, 1222, 1291]",snapshot_5,Absent,01-08-2024 10:29
33,"[111, 160, 1108, 1174]",snapshot_5,Absent,01-08-2024 10:29
34,"[101, 151, 994, 1050]",snapshot_5,Absent,01-08-2024 10:29
35,"[102, 147, 702, 785]",snapshot_5,Absent,01-08-2024 10:29
